# C2  minimal valence basis (2s, 2p-1, 2p0, 2p+1 per atom), bond on z
# on-site diagonals constant: H_2s = -0.50084660  H_2p = -0.19916759  (Ha)
# sp column is <C1 2s|.|C2 2p0>; ppsig = <2p0|.|2p0>; pppi = <2p-1|.|2p-1> = <2p+1|.|2p+1>
# R = 0 is NaN: the two centres coincide, S has a zero eigenvalue (duplicated basis)
  R/bohr         S_ss         S_sp     S_pp_sig      S_pp_pi         H_ss         H_sp     H_pp_sig      H_pp_pi     E_band/Ha
------------------------------------------------------------------------------------------------------------------------------
    0.00   0.99999565          nan          nan          nan  -2.53974153          nan          nan          nan           nan
    0.40   0.92079210   0.12029201   0.83681010   0.94372415  -1.20963688   0.33360059  -1.04246719  -1.40389783   -6.90613789
    0.80   0.80806018   0.28348967   0.47102570   0.80281133  -0.74067574  -0.08327067  -0.26000767  -1.01682201   -4.73025028
    1.20   0.70319476   0.41580079   0.09682473   0.62803060  -0.67318657  -0.38428801   0.18694372  -0.68032120   -4.20922212
    1.60   0.58935484   0.47027232  -0.17467194   0.45862027  -0.60411895  -0.47766267   0.35029319  -0.43876722   -3.88093120
    2.00   0.46665449   0.44999425  -0.31705556   0.31566231  -0.48552831  -0.44053044   0.36663502  -0.27772519   -3.58932621
    2.08   0.44208688   0.43920941  -0.33151407   0.29103568  -0.46372667  -0.42891394   0.36085370  -0.25304378   -3.54148416
    2.16   0.41776608   0.42675768  -0.34193992   0.26777313  -0.43661598  -0.41134574   0.35281940  -0.23045271   -3.48610173
    2.24   0.39381043   0.41289846  -0.34865402   0.24586733  -0.41377510  -0.39642459   0.34383051  -0.20977664   -3.44033580
    2.32   0.37031136   0.39786642  -0.35198530   0.22530005  -0.38853587  -0.37825189   0.33312308  -0.19086962   -3.39171657
    2.40   0.34736383   0.38189665  -0.35226691   0.20604426  -0.36535266  -0.36117935   0.32214454  -0.17358335   -3.34840830
    2.48   0.32504851   0.36520676  -0.34982930   0.18806687  -0.34240840  -0.34337563   0.30996991  -0.15778761   -3.30656085
    2.56   0.30343457   0.34799946  -0.34499709   0.17132705  -0.31965937  -0.32522394   0.29785770  -0.14335861   -3.26634298
    2.64   0.28258577   0.33046612  -0.33808563   0.15578077  -0.29898931  -0.30822355   0.28507979  -0.13018134   -3.23055797
    2.72   0.26254802   0.31277500  -0.32939589   0.14137912  -0.27748885  -0.29002504   0.27245163  -0.11815415   -3.20266346
    2.80   0.24336528   0.29508560  -0.31921494   0.12807072  -0.25880605  -0.27389589   0.25965398  -0.10717648   -3.18116618
    2.88   0.22506230   0.27753160  -0.30781063   0.11580193  -0.23924741  -0.25654601   0.24697489  -0.09716368   -3.15979947
    2.96   0.20766384   0.26023921  -0.29543417   0.10451841  -0.22219791  -0.24118960   0.23451554  -0.08803117   -3.14084292
    3.04   0.19117730   0.24331009  -0.28231490   0.09416447  -0.20496826  -0.22528753   0.22214868  -0.07970656   -3.12214765
    3.12   0.17560876   0.22683703  -0.26866414   0.08468530  -0.18934237  -0.21066367   0.21022065  -0.07212010   -3.10521235
    3.20   0.16095238   0.21089339  -0.25467086   0.07602587  -0.17443607  -0.19641320   0.19843440  -0.06520961   -3.08887916
    3.60   0.10080047   0.14083920  -0.18484630   0.04319754  -0.11290195  -0.13486733   0.14546047  -0.03894602   -3.01963896
    4.00   0.05995067   0.08850792  -0.12422590   0.02353435  -0.07038962  -0.08902722   0.10255597  -0.02273477   -2.96372140
    4.40   0.03394465   0.05260762  -0.07813529   0.01231108  -0.04228626  -0.05651796   0.06948848  -0.01291879   -2.91704900
    4.80   0.01833672   0.02968838  -0.04632519   0.00619053  -0.02447094  -0.03448710   0.04516161  -0.00712104   -2.87936031
    5.20   0.00946723   0.01595399  -0.02601898   0.00299481  -0.01363443  -0.02021054   0.02810018  -0.00379699   -2.85088865
    5.60   0.00467871   0.00818259  -0.01389433   0.00139478  -0.00730930  -0.01136556   0.01671588  -0.00195431   -2.83090613
    6.00   0.00221597   0.00401258  -0.00707317   0.00062566  -0.00376774  -0.00612905   0.00949888  -0.00096949   -2.81782580
    6.40   0.00100684   0.00188393  -0.00343933   0.00027040  -0.00186637  -0.00316784   0.00515438  -0.00046302   -2.80979141
    6.80   0.00043919   0.00084776  -0.00159975   0.00011261  -0.00088805  -0.00156882   0.00267068  -0.00021274   -2.80513714
    7.20   0.00018402   0.00036592  -0.00071254   0.00004519  -0.00040575  -0.00074431   0.00132151  -0.00009398   -2.80258518
    7.60   0.00007410   0.00015158  -0.00030414   0.00001748  -0.00017798  -0.00033829   0.00062465  -0.00003990   -2.80125765
    8.00   0.00002868   0.00006029  -0.00012448   0.00000651  -0.00007493  -0.00014728   0.00028213  -0.00001628   -2.80060139
