# CH  minimal valence basis  (C 2s, 2p-1, 2p0, 2p+1 ; H 1s), bond on z
# on-site diagonals constant: H_ss = -0.50084660  H_pp = -0.19916759  H_HH = -0.23346791  (Ha)
# S_pi (C 2p+-1 - H 1s) = 0 by symmetry ; S diagonal = 1
    R/bohr        S_s,H       S_pz,H        H_s,H       H_pz,H     E_band/Ha
----------------------------------------------------------------------------
  1.000000  -0.62527659   0.60586078   0.59076589  -0.58545539   -2.14293909
  1.224490  -0.56446813   0.61289755   0.54695731  -0.54333261   -2.10481254
  1.448980  -0.49394267   0.58300916   0.48320935  -0.48639823   -2.06196718
  1.673469  -0.41932641   0.52783224   0.41307677  -0.42566038   -2.02117640
  1.897959  -0.34578538   0.45848668   0.34601323  -0.36561928   -1.98396922
  2.122449  -0.27736037   0.38426149   0.28355615  -0.30981022   -1.94998057
  2.346939  -0.21671581   0.31204183   0.22823379  -0.25922262   -1.91811788
  2.571429  -0.16517823   0.24629885   0.18081684  -0.21385493   -1.88664915
  2.795918  -0.12296864   0.18942311   0.14095731  -0.17392738   -1.85512034
  3.020408  -0.08952134   0.14221427   0.10814908  -0.13934891   -1.82377595
  3.244898  -0.06379526   0.10438010   0.08165383  -0.10982045   -1.79330683
  3.469388  -0.04454053   0.07497884   0.06063672  -0.08503216   -1.76480922
  3.693878  -0.03048805   0.05275556   0.04427535  -0.06465025   -1.73943205
  3.918367  -0.02047171   0.03638153   0.03177877  -0.04824536   -1.71799120
  4.142857  -0.01349022   0.02460282   0.02241373  -0.03532149   -1.70088779
  4.367347  -0.00872705   0.01632052   0.01552910  -0.02536046   -1.68813317
  4.591837  -0.00554385   0.01062305   0.01056625  -0.01785281   -1.67936571
  4.816327  -0.00345879   0.00678601   0.00705901  -0.01232034   -1.67388213
  5.040816  -0.00211968   0.00425502   0.00462979  -0.00833469   -1.67077423
  5.265306  -0.00127610   0.00261914   0.00298069  -0.00552700   -1.66916485
  5.489796  -0.00075474   0.00158280   0.00188352  -0.00359270   -1.66839227
  5.714286  -0.00043856   0.00093915   0.00116811  -0.00228921   -1.66804378
  5.938776  -0.00025037   0.00054715   0.00071094  -0.00142985   -1.66789472
  6.163265  -0.00014043   0.00031301   0.00042461  -0.00087548   -1.66783393
  6.387755  -0.00007739   0.00017583   0.00024885  -0.00052550   -1.66780790
  6.612245  -0.00004190   0.00009699   0.00014311  -0.00030923   -1.66780057
  6.836735  -0.00002229   0.00005253   0.00008076  -0.00017840   -1.66779795
  7.061224  -0.00001165   0.00002794   0.00004472  -0.00010090   -1.66779705
  7.285714  -0.00000598   0.00001459   0.00002429  -0.00005596   -1.66779675
  7.510204  -0.00000302   0.00000749   0.00001295  -0.00003043   -1.66779666
  7.734694  -0.00000149   0.00000377   0.00000677  -0.00001622   -1.66779663
  7.959184  -0.00000073   0.00000186   0.00000348  -0.00000848   -1.66779662
  8.183673  -0.00000035   0.00000091   0.00000175  -0.00000435   -1.66779662
  8.408163  -0.00000016   0.00000043   0.00000086  -0.00000219   -1.66779662
  8.632653  -0.00000008   0.00000020   0.00000042  -0.00000108   -1.66779662
  8.857143  -0.00000003   0.00000009   0.00000020  -0.00000052   -1.66779662
  9.081633  -0.00000002   0.00000004   0.00000009  -0.00000025   -1.66779662
  9.306122  -0.00000001   0.00000002   0.00000004  -0.00000011   -1.66779662
  9.530612  -0.00000000   0.00000001   0.00000002  -0.00000005   -1.66779662
  9.755102  -0.00000000   0.00000000   0.00000001  -0.00000002   -1.66779662
  9.979592  -0.00000000   0.00000000   0.00000000  -0.00000001   -1.66779662
 10.204082  -0.00000000   0.00000000   0.00000000  -0.00000000   -1.66779662
 10.428571  -0.00000000   0.00000000   0.00000000  -0.00000000   -1.66779662
 10.653061  -0.00000000   0.00000000   0.00000000  -0.00000000   -1.66779662
 10.877551  -0.00000000   0.00000000   0.00000000  -0.00000000   -1.66779662
 11.102041  -0.00000000   0.00000000   0.00000000  -0.00000000   -1.66779662
 11.326531  -0.00000000   0.00000000   0.00000000  -0.00000000   -1.66779662
 11.551020  -0.00000000   0.00000000   0.00000000  -0.00000000   -1.66779662
 11.775510  -0.00000000   0.00000000   0.00000000  -0.00000000   -1.66779662
 12.000000  -0.00000000   0.00000000   0.00000000  -0.00000000   -1.66779662
